xi,alpha
0.0,1.1517163600424871
0.02040816326530612,1.1666569027652047
0.04081632653061224,1.1829231293691844
0.061224489795918366,1.2006032718403525
0.08163265306122448,1.2197855657754928
0.1020408163265306,1.2405569099758043
0.12244897959183673,1.2630012864439109
0.14285714285714285,1.28719793749692
0.16326530612244897,1.3132193069874707
0.18367346938775508,1.3411287655957946
0.2040816326530612,1.3709781557169558
0.22448979591836732,1.4028052092272008
0.24489795918367346,1.4366309106208888
0.26530612244897955,1.4724568975064602
0.2857142857142857,1.5102630086626334
0.3061224489795918,1.5500051048465218
0.32653061224489793,1.5916132971381136
0.3469387755102041,1.63499071959656
0.36734693877551017,1.6800129754459925
0.3877551020408163,1.726528367547179
0.4081632653061224,1.7743589941223634
0.42857142857142855,1.8233027503705643
0.44897959183673464,1.8731362278862767
0.4693877551020408,1.9236184501425853
0.4897959183673469,1.9744953282411224
0.5102040816326531,2.0255046717588776
0.5306122448979591,2.0763815498574143
0.5510204081632653,2.126863772113723
0.5714285714285714,2.1766972496294352
0.5918367346938775,2.2256410058776366
0.6122448979591836,2.2734716324528206
0.6326530612244897,2.319987024554007
0.6530612244897959,2.3650092804034397
0.673469387755102,2.408386702861886
0.6938775510204082,2.4499948951534782
0.7142857142857142,2.4897369913373666
0.7346938775510203,2.5275431024935395
0.7551020408163265,2.563369089379111
0.7755102040816326,2.5971947907727992
0.7959183673469387,2.629021844283044
0.8163265306122448,2.658871234404205
0.836734693877551,2.686780693012529
0.8571428571428571,2.71280206250308
0.8775510204081632,2.7369987135560896
0.8979591836734693,2.7594430900241953
0.9183673469387754,2.780214434224507
0.9387755102040816,2.7993967281596475
0.9591836734693877,2.8170768706308156
0.9795918367346939,2.8333430972347955
1.0,2.848283639957513
