Material,Pore_nm,Guest,D_m2s,T_K,Reference,log_L,log_D
Zeolite 5A,0.42,n-Hexane,2e-14,300,Ruthven 1984,-0.37675070960209955,-13.698970004336019
Ferrierite,0.48,n-Hexane,5e-14,300,Kärger 1992,-0.3187587626244128,-13.301029995663981
ZSM-5,0.55,n-Hexane,2e-10,300,Kärger 1992,-0.2596373105057561,-9.698970004336019
Silicalite,0.55,n-Hexane,1.5e-10,300,Jobic 1997,-0.2596373105057561,-9.823908740944319
Mordenite,0.65,n-Hexane,1e-09,300,Ruthven 1984,-0.18708664335714442,-9.0
Zeolite Y,0.74,n-Hexane,5e-09,300,Kärger 1992,-0.13076828026902382,-8.301029995663981
Zeolite X,0.74,n-Hexane,6e-09,300,Ruthven 1984,-0.13076828026902382,-8.221848749616356
MCM-41,3.0,n-Hexane,2e-08,300,Stallmach 2000,0.47712125471966244,-7.698970004336019
SBA-15,6.0,n-Hexane,8e-08,300,Stallmach 2000,0.7781512503836436,-7.096910013008056
Zeolite 4A,0.38,Methane,1e-12,300,Kärger 1992,-0.42021640338318983,-12.0
Zeolite 5A,0.42,Methane,5e-10,300,Kärger 1992,-0.37675070960209955,-9.301029995663981
ZSM-5,0.55,Methane,1e-08,300,Jobic 1997,-0.2596373105057561,-8.0
Silicalite,0.55,Methane,8e-09,300,Caro 1993,-0.2596373105057561,-8.096910013008056
Zeolite Y,0.74,Methane,5e-08,300,Kärger 1992,-0.13076828026902382,-7.301029995663981
MCM-41,3.0,Methane,2e-07,300,Stallmach 2000,0.47712125471966244,-6.698970004336019
ZSM-5,0.55,Benzene,1e-12,300,Förste 1990,-0.2596373105057561,-12.0
Silicalite,0.55,Benzene,8e-13,300,Jobic 1992,-0.2596373105057561,-12.096910013008056
Zeolite Y,0.74,Benzene,1e-10,300,Kärger 1992,-0.13076828026902382,-10.0
NaX,0.74,Benzene,5e-11,300,Germanus 1985,-0.13076828026902382,-10.301029995663981
MCM-41,3.0,Benzene,5e-09,300,Stallmach 2000,0.47712125471966244,-8.301029995663981
Zeolite 5A,0.42,Propane,1e-13,300,Ruthven 1984,-0.37675070960209955,-13.0
ZSM-5,0.55,Propane,5e-10,300,Kärger 1992,-0.2596373105057561,-9.301029995663981
Silicalite,0.55,Propane,3e-10,300,Jobic 1997,-0.2596373105057561,-9.522878745280337
Zeolite Y,0.74,Propane,2e-09,300,Kärger 1992,-0.13076828026902382,-8.698970004336019
Zeolite 4A,0.38,CO2,5e-11,300,Kärger 1992,-0.42021640338318983,-10.301029995663981
Zeolite 5A,0.42,CO2,2e-10,300,Ruthven 1984,-0.37675070960209955,-9.698970004336019
ZSM-5,0.55,CO2,1e-09,300,Caro 1993,-0.2596373105057561,-9.0
Zeolite Y,0.74,CO2,5e-09,300,Kärger 1992,-0.13076828026902382,-8.301029995663981
Zeolite 4A,0.38,Water,1e-10,300,Paoli 2002,-0.42021640338318983,-10.0
Zeolite 5A,0.42,Water,5e-10,300,Paoli 2002,-0.37675070960209955,-9.301029995663981
ZSM-5,0.55,Water,2e-09,300,Bussai 2002,-0.2596373105057561,-8.698970004336019
Zeolite Y,0.74,Water,8e-09,300,Paoli 2002,-0.13076828026902382,-8.096910013008056
ZSM-5,0.55,n-Butane,8e-11,300,Kärger 1992,-0.2596373105057561,-10.096910013008056
Silicalite,0.55,n-Butane,5e-11,300,Jobic 1997,-0.2596373105057561,-10.301029995663981
Zeolite Y,0.74,n-Butane,3e-09,300,Kärger 1992,-0.13076828026902382,-8.522878745280337
